central_shell_r,h,chirality,p_minus4,p_minus3,p_minus2,p_minus1,p0,p_plus1,p_plus2,p_plus3,p_plus4,endpoint_span
703975,-296246,-1,743367644917,743369756841,743371868769,743373980699,743376092633,743378204569,743380316509,743382428451,743384540397,16895400
707910,316336,1,751699828801,751701952521,751704076243,751706199969,751708323697,751710447429,751712571163,751714694901,751716818641,16989840
709950,-234284,1,756043940101,756046069941,756048199783,756050329629,756052459477,756054589329,756056719183,756058849041,756060978901,17038800
714135,-126386,-1,764997917037,765000059431,765002201829,765004344229,765006486633,765008629039,765010771449,765012913861,765015056277,17139240
715650,60646,1,768247357501,768249504441,768251651383,768253798329,768255945277,768258092229,768260239183,768262386141,768264533101,17175600
716905,299014,-1,770945573157,770947723871,770949874589,770952025309,770954176033,770956326759,770958477489,770960628221,770962778957,17205720
722640,-226064,1,783322085401,783324253311,783326421223,783328589139,783330757057,783332924979,783335092903,783337260831,783339428761,17343360
728025,232594,-1,795035445577,795037629621,795039813669,795041997719,795044181773,795046365829,795048549889,795050733951,795052918017,17472600
731740,115756,1,803169267201,803171462411,803173657623,803175852839,803178048057,803180243279,803182438503,803184633731,803186828961,17561760
744180,-199424,1,830631508201,830633740731,830635973263,830638205799,830640438337,830642670879,830644903423,830647135971,830649368521,17860320
751775,350554,-1,847658229847,847660485161,847662740479,847664995799,847667251123,847669506449,847671761779,847674017111,847676272447,18042600
755030,-26174,1,854997287401,854999552481,855001817563,855004082649,855006347737,855008612829,855010877923,855013143021,855015408121,18120720
762660,-108434,1,872365042001,872367329991,872369617983,872371905979,872374193977,872376481979,872378769983,872381057991,872383346001,18303840
769115,204634,-1,887195147037,887197454391,887199761749,887202069109,887204376473,887206683839,887208991209,887211298581,887213605957,18458760
776745,-130316,-1,904888899397,904891229621,904893559849,904895890079,904898220313,904900550549,904902880789,904905211031,904907541277,18641880
778770,-366944,1,909612917601,909615253881,909617590163,909619926449,909622262737,909624599029,909626935323,909629271621,909631607921,18690480
785300,237076,1,924940101001,924942456891,924944812783,924947168679,924949524577,924951880479,924954236383,924956592291,924958948201,18847200
788355,-22646,-1,932147850217,932150215281,932152580349,932154945419,932157310493,932159675569,932162040649,932164405731,932166770817,18920520
796995,-317756,-1,952674944197,952677335191,952679726189,952682117189,952684508193,952686899199,952689290209,952691681221,952694072237,19127880
806835,-171566,-1,976337696917,976340117391,976342537869,976344958349,976347378833,976349799319,976352219809,976354640301,976357060797,19364040
809800,117316,1,983529097501,983531526891,983533956283,983536385679,983538815077,983541244479,983543673883,983546103291,983548532701,19435200
819725,-3896,-1,1007920088077,1007922547291,1007925006509,1007927465729,1007929924953,1007932384179,1007934843409,1007937302641,1007939761877,19673400
823500,-83744,1,1017228876001,1017231346471,1017233816943,1017236287419,1017238757897,1017241228379,1017243698863,1017246169351,1017248639841,19764000
824865,-132746,-1,1020605104477,1020607579071,1020610053669,1020612528269,1020615002873,1020617477479,1020619952089,1020622426701,1020624901317,19796760
835675,365704,-1,1047551814927,1047554321951,1047556828979,1047559336009,1047561843043,1047564350079,1047566857119,1047569364161,1047571871207,20056200
838680,-218234,1,1055091863401,1055094379431,1055096895463,1055099411499,1055101927537,1055104443579,1055106959623,1055109475671,1055111991721,20128320
841410,133876,1,1061972761501,1061975285711,1061977809923,1061980334139,1061982858357,1061985382579,1061987906803,1061990431031,1061992955261,20193840
846565,22564,-1,1075034629237,1075037168921,1075039708609,1075042248299,1075044787993,1075047327689,1075049867389,1075052407091,1075054946797,20317560
849150,-145754,1,1081603125001,1081605672451,1081608219903,1081610767359,1081613314817,1081615862279,1081618409743,1081620957211,1081623504681,20379600
851360,-174524,1,1087237688701,1087240242771,1087242796843,1087245350919,1087247904997,1087250459079,1087253013163,1087255567251,1087258121341,20432640
855605,-76316,-1,1098108678437,1098111245311,1098113812189,1098116379069,1098118945953,1098121512839,1098124079729,1098126646621,1098129213517,20534520
864760,299056,1,1121756390401,1121758984671,1121761578943,1121764173219,1121766767497,1121769361779,1121771956063,1121774550351,1121777144641,20754240
866220,-122654,1,1125546976501,1125549575151,1125552173803,1125554772459,1125557371117,1125559969779,1125562568443,1125565167111,1125567765781,20789280
869505,-190466,-1,1134096616177,1134099224671,1134101833169,1134104441669,1134107050173,1134109658679,1134112267189,1134114875701,1134117484217,20868120
879810,-188264,1,1161138628201,1161141267631,1161143907063,1161146546499,1161149185937,1161151825379,1161154464823,1161157104271,1161159743721,21115440
883275,406384,-1,1170328668027,1170331317851,1170333967679,1170336617509,1170339267343,1170341917179,1170344567019,1170347216861,1170349866707,21198600
886285,282724,-1,1178325427677,1178328086531,1178330745389,1178333404249,1178336063113,1178338721979,1178341380849,1178344039721,1178346698597,21270840
888210,251356,1,1183450607701,1183453272331,1183455936963,1183458601599,1183461266237,1183463930879,1183466595523,1183469260171,1183471924821,21317040
893605,230314,-1,1197857137077,1197859817871,1197862498669,1197865179469,1197867860273,1197870541079,1197873221889,1197875902701,1197878583517,21446520
900330,222046,1,1215963573001,1215966273991,1215968974983,1215971675979,1215974376977,1215977077979,1215979778983,1215982479991,1215985181001,21607920
